sigma,fl_acc_mean,fl_acc_std,attack_acc_mean,attack_acc_std,privacy_score
0.0,0.9440106666666667,0.003878767014858652,0.1272727272727273,0.01963860817699352,0.8727272727272727
0.05,0.9417486666666667,0.0038822421642940217,0.16363636363636364,0.03401506715249038,0.8363636363636363
0.1,0.9303243333333334,0.01568837636241839,0.1484848484848485,0.028101874228774856,0.8515151515151514
0.2,0.8959396666666667,0.03400319993111757,0.16363636363636366,0.026762911716144987,0.8363636363636363
0.5,0.66497,0.013667331926897812,0.1575757575757576,0.017141982574219325,0.8424242424242424
1.0,0.38197033333333336,0.005266793859223609,0.1484848484848485,0.02606765232437159,0.8515151515151516
